Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2018-0539-P,,2018-09-28,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,Male,White,
Public Initiated,2018-0539-P,,2018-09-28,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,Male,White,
Public Initiated,2018-0576-P,2018-10-14,2018-10-15,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,46,,,,
Public Initiated,2018-0580-P,2018-08-17,2018-10-15,,DI-1,Initial,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,Regular Working,Between 5:25pm-2am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,37,,Sex-Unk,Race-Unknown,
Public Initiated,2018-0554-P,2018-10-02,2018-10-08,,,Initial,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,26,,,,
Rank Initiated,2018-0567,2018-10-07,2018-10-15,,DI-1,Initial,Pending,FOB - Field Operations Bureau,4th District,1st Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,53,,,,
Public Initiated,2018-0578-P,2018-10-14,2018-10-15,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,Black,
Public Initiated,2018-0532-P,2018-09-06,2018-09-24,,DI-1,Active,Pending,ISB - Investigative Services Bureau,Crime Lab Division,Day Watch,,Paid Detail,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,Black,Male,43,,Female,Black,
Rank Initiated,2017-0627-R,2017-11-01,2017-11-06,2018-10-15,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,White,Male,29,,,,
Public Initiated,2018-0539-P,,2018-09-28,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,,,Male,White,
Public Initiated,2018-0543-P,2018-10-01,2018-10-02,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,41,,Male,Black,44
Public Initiated,2018-0443-N,2018-08-07,2018-08-13,2018-08-29,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,46,,,,
Public Initiated,2018-0410-P,2018-07-19,2018-07-24,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,B Platoon,Property,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,33,,,,
Public Initiated,2018-0517-N,2018-09-18,2018-09-18,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,3rd District,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Female,Black,
Rank Initiated,2018-0547-R,2018-01-03,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,6th District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,55,,,,
Public Initiated,2018-0466-N,2018-08-06,2018-08-27,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,59,,Male,White,40
Rank Initiated,2018-0516-R,2018-09-18,2018-09-27,,DI-1,Active,Pending,,Crime Lab and Evidence Division,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,32,,,,
Rank Initiated,2018-0574-R,,2018-10-12,,DI-1,Initial,Pending,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,,,,,Black,Male,,,,,
Rank Initiated,2018-0555-R,,2018-10-08,,DI-1,Initial,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,,,,,Black,Male,,,,,
Public Initiated,2018-0560-N,2018-10-03,2018-10-10,,NFIM,Initial,Pending,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,Black,Male,57,,Female,Black,26
Public Initiated,2018-0455-N,2018-08-20,2018-08-20,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,7th District,7th District,Unknown Assignment,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,Black,
Public Initiated,2018-0422-N,2018-06-11,2018-08-02,2018-08-20,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Admin Unit,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,41,,,,
Public Initiated,2018-0430-P,2018-08-06,2018-08-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,2nd Platoon,,,,,,White,Female,41,,,,
Rank Initiated,2018-0367-R,2017-11-07,2018-07-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,54,,,,
Public Initiated,2018-0571-P,,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,D.I.U.,Property,,,,,Black,Female,,,,,
Rank Initiated,2018-0367-R,2017-11-07,2018-07-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,51,,,,
Public Initiated,2018-0410-P,2018-07-19,2018-07-24,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,B Platoon,Property,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,28,,,,
Rank Initiated,2018-0555-R,,2018-10-08,,DI-1,Initial,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,,,,,,,,,,,
Rank Initiated,2018-0555-R,,2018-10-08,,DI-1,Initial,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,,,,,Black,Female,,,,,
Rank Initiated,2018-0367-R,2017-11-07,2018-07-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,24,,,,
Public Initiated,2018-0552-P,2018-10-01,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,,,
Rank Initiated,2018-0349-R,2018-06-20,2018-06-21,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,26,,,,
Rank Initiated,2018-0583-R,,2018-10-17,,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,,,,,Black,Male,,,,,
Rank Initiated,2018-0350-R,2018-06-17,2018-06-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Male,42,,,,
Rank Initiated,2018-0349-R,2018-06-20,2018-06-21,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,23,,,,
Public Initiated,2018-0581-P,,2018-10-15,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,,,White,Male,,,,,
Public Initiated,2018-0584-P,,2018-10-16,,DI-1,Initial,Pending,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,,,White,Male,,,,,
Public Initiated,2018-0550-N,2018-10-03,2018-10-04,,NFIM,Forwarded,Pending,,,,,Not - NOPD Officer,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,M,W,
Public Initiated,2018-0564-P,2018-10-08,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,Police Recruits,3rd District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 02 -Abuse of Position,Black,Male,34,,,,
Public Initiated,2018-0582-P,,2018-10-15,,DI-1,Initial,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,Unknown Working Status,Unknown Shift Hours,,,Black,Male,,,,,
Public Initiated,2018-0529-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 06 - ACTING IN CIVIL MATTERS,White,Female,39,,Female,Black,35
Rank Initiated,2018-0585-R,,2018-10-16,,DI-1,Initial,Pending,MSB - Management Service Bureau,Education/Training & Recruitment Division,Training Section,Staff,,,,,,,,,,,
Rank Initiated,2018-0585-R,,2018-10-16,,DI-1,Initial,Pending,MSB - Management Service Bureau,Education/Training & Recruitment Division,Training Section,Staff,,,,,Black,Male,,,,,
Public Initiated,2018-0572-P,2018-10-09,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Unknown Working Status,Unknown Shift Hours,,,Black,Female,34,,Female,Race-Unknown,
Public Initiated,2018-0575-P,2018-10-09,2018-10-16,,DI-1,Forwarded,Pending,,,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Female,,,,,
Public Initiated,2018-0496-P,2018-07-13,2018-09-07,,DI-1,Active,Pending,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,Black,
Public Initiated,2018-0581-P,,2018-10-15,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,,,Hispanic,Male,,,,,
Public Initiated,2018-0559-P,2018-09-13,2018-10-09,,DI-1,Initial,Pending,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,,,White,Male,28,,Female,Black,
Public Initiated,2018-0559-P,2018-09-13,2018-10-09,,DI-1,Initial,Pending,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,,,White,Male,28,,Female,Black,
Public Initiated,2018-0569-P,2018-08-30,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,31,,Male,White,39
Rank Initiated,2018-0542-R,2018-09-28,2018-10-09,,DI-1,Active,Pending,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,49,,,,
Public Initiated,2018-0529-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 06 - ACTING IN CIVIL MATTERS,White,Male,27,,,,
Public Initiated,2018-0529-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 06 - ACTING IN CIVIL MATTERS,White,Male,27,,,,
Public Initiated,2018-0529-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 06 - ACTING IN CIVIL MATTERS,White,Male,27,,Female,Black,35
Public Initiated,2018-0495-P,2018-09-06,2018-09-06,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,41,,Female,Black,
Public Initiated,2018-0495-P,2018-09-06,2018-09-06,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,41,,Female,Black,
Public Initiated,2018-0552-P,2018-10-01,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Hispanic,Male,57,,,,
Public Initiated,2018-0569-P,2018-08-30,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Not Specifie,Male,30,,Male,White,39
Public Initiated,2018-0529-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 06 - ACTING IN CIVIL MATTERS,White,Female,39,,,,
Public Initiated,2018-0529-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 06 - ACTING IN CIVIL MATTERS,White,Female,39,,,,
Public Initiated,2018-0572-P,2018-10-09,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Unknown Working Status,Unknown Shift Hours,,,Black,Male,37,,Female,Race-Unknown,
Rank Initiated,2018-0545-R,2018-10-03,2018-10-03,,DI-1,Active,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,51,,,,
Public Initiated,2018-0496-P,2018-07-13,2018-09-07,,DI-1,Active,Pending,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,Male,Black,
Rank Initiated,2018-0583-R,,2018-10-17,,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,,,,,White,Female,,,,,
Public Initiated,2017-0480-P,2017-09-21,2017-08-30,2018-10-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,42,,Female,Black,67
Public Initiated,2018-0584-P,,2018-10-16,,DI-1,Initial,Pending,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,,,Black,Female,,,,,
Rank Initiated,2018-0350-R,2018-06-17,2018-06-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Male,58,,,,
Public Initiated,2018-0552-P,2018-10-01,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,54,,,,
Public Initiated,2018-0495-P,2018-09-06,2018-09-06,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,25,,Female,Black,
Public Initiated,2018-0495-P,2018-09-06,2018-09-06,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,25,,Female,Black,
Public Initiated,2018-0575-P,2018-10-09,2018-10-16,,DI-1,Forwarded,Pending,,,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,,,
Public Initiated,2018-0537-P,2018-08-17,2018-09-28,,DI-1,Initial,Pending,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,34,,,,
Public Initiated,2017-0710-P,2017-12-10,2017-12-22,2018-04-27,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,47,,Female,Black,20
Public Initiated,2018-0557-P,2018-10-04,2018-10-08,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,32,,Female,Black,
Public Initiated,2018-0310-P,2018-05-30,2018-05-31,2018-08-03,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,28,,Female,Black,29
Public Initiated,2017-0447-P,2012-10-17,2017-08-21,2018-12-28,DI-1,Completed,Exonerated,PIB - Public Integrity Bureau,PIB,Criminal Investigation Section,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,45,,Female,White,41
Public Initiated,2018-0557-P,2018-10-04,2018-10-08,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Female,Black,
Public Initiated,2018-0270-P,2018-04-27,2018-05-09,2018-07-18,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Intake Unit,Professional Standards Section,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,52,,Male,White,58
Public Initiated,2017-0710-P,2017-12-10,2017-12-22,2018-04-27,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,29,,Female,Black,20
Public Initiated,2017-0710-P,2017-12-10,2017-12-22,2018-04-27,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,51,,Female,Black,20
Public Initiated,2018-0557-P,2018-10-04,2018-10-08,,DI-1,Initial,Pending,FOB - Field Operations Bureau,8th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,26,,Female,Black,
Public Initiated,2017-0447-P,2012-10-17,2017-08-21,2018-12-28,DI-1,Completed,Exonerated,PIB - Public Integrity Bureau,PIB,Criminal Investigation Section,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,46,,Female,White,41
Public Initiated,2018-0565-P,2018-10-08,2018-10-11,,DI-1,Initial,Pending,FOB - Field Operations Bureau,6th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,46,,Female,Black,65
Rank Initiated,2018-0252-R,,2018-04-27,,DI-1,Active,Pending,,4th District,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,,,,,,,
Rank Initiated,2016-0591-N,2016-08-25,2016-09-08,2017-05-02,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,,,
Rank Initiated,,,2018-05-02,,,Initial,Pending,,,,,,,,,,,,,,,
Rank Initiated,2017-0189-R,,2017-04-05,2017-08-17,DI-1,Completed,Unfounded,MSB - Management Service Bureau,Education/Training & Recruitment Division,Recruitment Division,Staff,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 12 - RETALIATION,White,Male,,,,,
Public Initiated,2018-0259-N,,2018-05-03,2018-05-30,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Female,Black,
Rank Initiated,2016-0746-D,2016-11-14,2016-11-21,2016-12-02,DI-2,Completed,Other,MSB - Management Services Bureau,Records & Identification / Support Services Divisi,Records & I.D.,,,,,,Black,Female,,,,,
Rank Initiated,,,2018-01-22,,,Initial,Pending,,,,,,,,,,,,,,,
Public Initiated,2018-0444-P,2018-07-14,2018-08-13,2018-09-13,DI-1,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,52,,Male,Black,57
Rank Initiated,2018-0486-R,,2018-09-04,,DI-1,Initial,Pending,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,,,,,
Rank Initiated,2018-0486-R,,2018-09-04,,DI-1,Initial,Pending,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,,,
Public Initiated,2018-0477-P,2018-02-12,2018-09-11,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,39,,,,
Public Initiated,2018-0481-N,2018-10-07,2018-08-31,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,31,,Male,Black,
Public Initiated,2018-0481-N,2018-10-07,2018-08-31,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,25,,Male,Black,
Public Initiated,2018-0391-P,2018-07-17,2018-07-19,,DI-1,Forwarded,Pending,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Female,Black,22
